placa,data,km
ACU9V94,2026-02-08,242408.8
ACU9V94,2026-02-14,244064.3
ACU9V94,2026-02-15,244399.4
ACU9V94,2026-02-18,245239.8
ACU9V94,2026-02-20,245763.3
ACU9V94,2026-03-02,248480.2
ACU9V94,2026-03-13,251289.6
ACU9V94,2026-03-28,254699.1
ACU9V94,2026-04-02,256082.4
ACU9V94,2026-04-05,256871.2
ACU9V94,2026-04-22,260881.2
ACU9V94,2026-04-27,261975.8
ACU9V94,2026-04-30,262781.1
ACU9V94,2026-05-22,268339.6
ACU9V94,2026-05-25,269228.1
BBL0A11,2024-01-14,18671.3
BBL0A11,2024-01-16,19046.7
BBL0A11,2024-01-24,20258.3
BBL0A11,2024-01-26,20586.3
BBL0A11,2024-01-29,21111.3
BBL0A11,2024-01-30,21279.5
BBL0A11,2024-01-31,21445.9
BBL0A11,2024-02-03,21836.7
BBL0A11,2024-02-08,22656.1
BBL0A11,2024-02-14,23343.2
BBL0A11,2024-02-18,23705.3
BBL0A11,2024-03-02,25825.1
BBL0A11,2024-03-05,26182.9
BBL0A11,2024-03-06,26355.8
BBL0A11,2024-03-10,27137.9
BBL0A11,2024-03-23,28956.5
BBL0A11,2024-03-25,29300.0
BBL0A11,2024-04-06,31316.7
BBL0A11,2024-04-07,31489.2
BBL0A11,2024-04-10,32023.9
BBL0A11,2024-05-01,35293.3
BBL0A11,2024-05-03,35637.5
BBL0A11,2024-05-11,36648.5
BBL0A11,2024-05-15,37327.9
BBL0A11,2024-05-22,38467.1
BBL0A11,2024-05-31,39863.0
BBL0A11,2024-06-07,40929.8
BBL0A11,2024-06-26,44157.6
BBL0A11,2024-07-23,47444.5
BBL0A11,2024-08-04,49500.4
BBL0A11,2024-08-05,49619.4
BBL0A11,2024-08-26,53173.7
BBL0A11,2024-08-29,53707.2
BBL0A11,2024-09-11,55837.1
BBL0A11,2024-09-20,57567.7
BBL0A11,2024-09-29,59281.0
BBL0A11,2024-10-17,62488.9
BBL0A11,2024-10-20,62871.3
BBL0A11,2024-10-26,63950.5
BBL0A11,2024-10-27,64126.8
BBL0A11,2024-11-05,65649.3
BBL0A11,2024-11-12,66913.0
BBL0A11,2024-11-17,67818.1
BBL0A11,2024-11-26,69153.7
BBL0A11,2024-12-12,71339.3
BBL0A11,2024-12-13,71336.8
BBL0A11,2024-12-19,72290.0
BBL0A11,2024-12-21,72649.3
BBL0A11,2024-12-27,73790.6
BBL0A11,2024-12-28,73980.6
BBL0A11,2025-01-08,76009.6
BBL0A11,2025-01-09,76195.4
BBL0A11,2025-01-10,76369.9
BBL0A11,2025-01-16,77477.1
BBL0A11,2025-01-18,77808.3
BBL0A11,2025-01-19,77981.5
BBL0A11,2025-02-26,84058.0
BBL0A11,2025-03-01,84556.9
BBL0A11,2025-03-10,85751.8
BBL0A11,2025-03-13,86208.1
BBL0A11,2025-03-31,88818.8
BBL0A11,2025-04-15,91197.8
BBL0A11,2025-04-29,93519.7
BBL0A11,2025-05-16,96593.4
BBL0A11,2025-05-26,98144.2
BBL0A11,2025-06-07,99639.6
BBL0A11,2025-06-09,99972.8
BBL0A11,2025-06-12,100287.5
BBL0A11,2025-06-14,100287.6
BBL0A11,2025-06-15,100397.1
BBL0A11,2025-06-21,101374.7
BBL0A11,2025-06-22,101544.4
BBL0A11,2025-06-26,102321.1
BBL0A11,2025-07-12,104627.1
BBL0A11,2025-07-22,105669.7
BBL0A11,2025-07-24,105998.9
BBL0A11,2025-07-25,106165.2
BBL0A11,2025-07-27,106487.4
BBL0A11,2025-07-28,106698.1
BBL0A11,2025-08-11,109085.1
BBL0A11,2025-08-14,109570.5
BBL0A11,2025-08-15,109728.5
BBL0A11,2025-08-21,110819.8
BBL0A11,2025-09-05,113013.0
BBL0A11,2025-09-06,113157.5
BBL0A11,2025-09-16,114868.5
BBL0A11,2025-09-29,116999.8
BBL0A11,2025-10-02,117550.3
BBL0A11,2025-10-10,118772.8
BBL0A11,2025-10-12,119144.0
BBL0A11,2025-10-22,120583.3
BBL0A11,2025-10-23,120693.9
BBL0A11,2025-10-27,120844.1
BBL0A11,2025-10-31,121375.5
BBL0A11,2025-11-09,122624.7
BBL0A11,2025-11-14,123357.7
BBL0A11,2025-11-30,126077.7
BBL0A11,2025-12-06,126845.2
BBL0A11,2025-12-12,127904.8
BBL0A11,2025-12-17,128694.7
BBL0A11,2025-12-19,128986.1
BBL0A11,2026-01-15,133333.9
BBL0A11,2026-01-19,133844.9
BBL0A11,2026-01-20,134026.3
BBL0A11,2026-01-21,134170.7
BBL0A11,2026-01-23,134512.4
BBL0A11,2026-02-07,136910.2
BBL0A11,2026-02-08,137080.1
BBL0A11,2026-02-10,137455.5
BBL0A11,2026-02-17,138568.0
BBL0A11,2026-02-18,138777.6
BBL0A11,2026-03-05,140909.6
BBL0A11,2026-03-06,141115.4
BBL0A11,2026-03-09,141418.6
BBL0A11,2026-03-14,141950.5
BBL0A11,2026-03-17,142423.5
BBL0A11,2026-03-19,142761.4
BBL0A11,2026-03-21,143123.8
BBL0A11,2026-03-22,143307.3
BBL0A11,2026-04-01,144716.6
BBL0A11,2026-04-11,146536.6
BBL0A11,2026-04-23,148543.7
BBL0A11,2026-04-25,148908.0
BBL0A11,2026-04-29,149671.1
BBL0A11,2026-05-06,150913.6
BBL0A11,2026-05-12,151604.7
BKI7N60,2024-01-03,94645.4
BKI7N60,2024-01-10,96238.8
BKI7N60,2024-01-12,96709.1
BKI7N60,2024-01-13,96969.9
BKI7N60,2024-01-16,97531.2
BKI7N60,2024-01-19,98331.8
BKI7N60,2024-01-31,100472.5
BKI7N60,2024-02-07,102036.4
BKI7N60,2024-03-08,108952.0
BKI7N60,2024-03-13,109865.6
BKI7N60,2024-03-26,113103.7
BKI7N60,2024-04-14,116350.1
BKI7N60,2024-05-06,121011.4
BKI7N60,2024-05-07,121240.4
BKI7N60,2024-05-17,123736.6
BKI7N60,2024-05-23,124793.3
BKI7N60,2024-05-26,125295.6
BKI7N60,2024-06-01,126955.4
BKI7N60,2024-06-04,127174.9
BKI7N60,2024-06-05,127427.7
BKI7N60,2024-06-06,127429.5
BKI7N60,2024-06-15,129555.1
BKI7N60,2024-06-18,130386.5
BKI7N60,2024-06-29,132886.0
BKI7N60,2024-07-01,133446.0
BKI7N60,2024-07-19,137708.1
BKI7N60,2024-08-31,147475.6
BKI7N60,2024-09-05,148016.5
BKI7N60,2024-09-07,148551.2
BKI7N60,2024-09-10,149399.7
BKI7N60,2024-09-20,151470.6
BKI7N60,2024-09-21,151731.3
BKI7N60,2024-09-27,152813.2
BKI7N60,2024-10-10,155171.7
BKI7N60,2024-10-15,156524.2
BKI7N60,2024-10-19,157416.4
BKI7N60,2024-10-26,158853.5
BKI7N60,2024-11-05,160985.2
BKI7N60,2024-11-12,162286.6
BKI7N60,2024-11-14,162833.9
BKI7N60,2024-11-27,165866.5
BKI7N60,2024-12-15,169889.9
BKI7N60,2024-12-18,170705.0
BKI7N60,2024-12-22,171815.5
BKI7N60,2025-01-09,175318.8
BKI7N60,2025-01-13,176208.3
BKI7N60,2025-01-18,177291.1
BKI7N60,2025-01-28,180015.4
BKI7N60,2025-02-06,182165.3
BKI7N60,2025-02-07,182457.7
BKI7N60,2025-02-12,183759.6
BKI7N60,2025-02-21,186261.9
BKI7N60,2025-02-26,187642.8
BKI7N60,2025-02-28,188209.5
BKI7N60,2025-03-05,189048.6
BKI7N60,2025-03-12,190616.5
BKI7N60,2025-03-22,192468.7
BKI7N60,2025-04-07,195393.5
BKI7N60,2025-04-08,195640.3
BKI7N60,2025-04-12,196487.1
BKI7N60,2025-04-14,196479.4
BKI7N60,2025-04-25,198804.7
BKI7N60,2025-04-29,199669.6
BKI7N60,2025-05-03,200216.7
BKI7N60,2025-05-04,200216.1
BKI7N60,2025-05-15,202332.2
BKI7N60,2025-06-02,205515.5
BKI7N60,2025-06-05,206277.0
BKI7N60,2025-06-06,206294.6
BKI7N60,2025-06-18,208488.8
BKI7N60,2025-06-27,210783.4
BKI7N60,2025-07-04,212728.8
BKI7N60,2025-07-14,214312.7
BKI7N60,2025-07-19,215629.6
BKI7N60,2025-07-20,215887.1
BKI7N60,2025-07-23,216680.9
BKI7N60,2025-08-04,219395.0
BKI7N60,2025-08-15,222164.6
BKI7N60,2025-08-18,222697.2
BKI7N60,2025-09-04,226453.4
BKI7N60,2025-09-06,227040.9
BKI7N60,2025-09-09,227622.3
BKI7N60,2025-09-17,229291.9
BKI7N60,2025-09-23,230670.6
BKI7N60,2025-09-28,231255.6
BKI7N60,2025-10-18,234976.6
BKI7N60,2025-10-25,236627.8
BKI7N60,2025-10-30,237424.9
BKI7N60,2025-11-01,237962.9
BKI7N60,2025-11-04,238827.1
BKI7N60,2025-11-06,239117.2
BKI7N60,2025-11-11,240456.5
BKI7N60,2025-12-08,246330.5
BKI7N60,2025-12-11,247164.9
BKI7N60,2025-12-29,251716.6
BKI7N60,2026-01-03,252937.2
BKI7N60,2026-01-08,253924.8
BKI7N60,2026-01-09,254206.4
BKI7N60,2026-01-19,256334.4
BKI7N60,2026-01-25,257670.6
BKI7N60,2026-01-27,258170.7
BKI7N60,2026-02-02,259241.5
BKI7N60,2026-02-28,265432.6
BKI7N60,2026-03-10,267920.8
BKI7N60,2026-03-12,267921.7
BKI7N60,2026-03-14,268464.9
BKI7N60,2026-03-20,269536.4
BKI7N60,2026-03-22,270097.1
BKI7N60,2026-03-23,270336.4
BKI7N60,2026-03-30,271928.5
BKI7N60,2026-04-15,274997.2
BKI7N60,2026-04-19,275846.1
BKI7N60,2026-04-26,277753.4
BKI7N60,2026-04-29,278580.4
BKI7N60,2026-05-03,279661.8
BKI7N60,2026-05-08,280725.4
BKI7N60,2026-05-12,281510.8
BKI7N60,2026-05-13,281754.6
BKI7N60,2026-05-16,282270.1
BKI7N60,2026-05-18,282765.9
BKI7N60,2026-05-26,284715.8
BKI7N60,2026-05-31,285285.0
CLH0V58,2024-01-05,26440.1
CLH0V58,2024-01-10,26849.6
CLH0V58,2024-01-18,27621.5
CLH0V58,2024-02-16,30095.3
CLH0V58,2024-02-25,30977.3
CLH0V58,2024-03-01,31434.6
CLH0V58,2024-03-03,31629.8
CLH0V58,2024-03-04,31725.3
CLH0V58,2024-03-09,32235.1
CLH0V58,2024-03-11,32476.3
CLH0V58,2024-03-28,34115.7
CLH0V58,2024-04-09,35043.8
CLH0V58,2024-04-17,35759.3
CLH0V58,2024-04-18,35847.5
CLH0V58,2024-04-23,36305.6
CLH0V58,2024-04-25,36490.7
CLH0V58,2024-05-09,37758.4
CLH0V58,2024-05-22,38995.6
CLH0V58,2024-05-26,39323.2
CLH0V58,2024-05-29,39672.0
CLH0V58,2024-06-15,41304.8
CLH0V58,2024-06-21,41858.3
CLH0V58,2024-07-01,42853.9
CLH0V58,2024-07-06,43428.0
CLH0V58,2024-08-13,47108.1
CLH0V58,2024-08-14,47238.1
CLH0V58,2024-08-23,48160.5
CLH0V58,2024-08-24,48265.0
CLH0V58,2024-08-26,48419.7
CLH0V58,2024-08-31,48822.6
CLH0V58,2024-09-08,49398.8
CLH0V58,2024-09-17,50385.3
CLH0V58,2024-09-21,50815.2
CLH0V58,2024-09-24,51059.0
CLH0V58,2024-09-28,51474.0
CLH0V58,2024-10-07,52273.2
CLH0V58,2024-10-08,52268.8
CLH0V58,2024-10-14,52814.3
CLH0V58,2024-10-16,53022.3
CLH0V58,2024-10-29,54418.0
CLH0V58,2024-11-11,55809.3
CLH0V58,2024-11-17,56487.3
CLH0V58,2024-11-18,56576.5
CLH0V58,2024-11-20,56784.3
CLH0V58,2024-12-01,57771.3
CLH0V58,2024-12-09,58672.1
CLH0V58,2024-12-15,59281.2
CLH0V58,2024-12-16,59398.5
CLH0V58,2025-01-09,61744.0
CLH0V58,2025-01-12,62062.3
CLH0V58,2025-01-15,62427.0
CLH0V58,2025-01-22,63017.9
CLH0V58,2025-01-25,63347.8
CLH0V58,2025-01-26,63432.3
CLH0V58,2025-01-28,63640.6
CLH0V58,2025-01-31,63918.5
CLH0V58,2025-02-02,64136.3
CLH0V58,2025-02-10,64804.9
CLH0V58,2025-02-12,64993.5
CLH0V58,2025-02-13,65130.4
CLH0V58,2025-02-27,66040.8
CLH0V58,2025-03-16,67317.6
CLH0V58,2025-03-17,67318.9
CLH0V58,2025-03-19,67536.6
CLH0V58,2025-04-11,69122.3
CLH0V58,2025-04-16,69408.1
CLH0V58,2025-04-19,69713.4
CLH0V58,2025-04-23,70006.7
CLH0V58,2025-04-30,70630.6
CLH0V58,2025-05-04,71010.9
CLH0V58,2025-05-30,73452.0
CLH0V58,2025-06-12,74650.7
CLH0V58,2025-06-27,76013.3
CLH0V58,2025-07-03,76574.8
CLH0V58,2025-07-09,77223.9
CLH0V58,2025-07-20,78255.4
CLH0V58,2025-07-26,78719.9
CLH0V58,2025-08-05,79808.5
CLH0V58,2025-08-08,80167.6
CLH0V58,2025-08-21,81432.5
CLH0V58,2025-10-13,86695.7
CLH0V58,2025-10-15,86918.5
CLH0V58,2025-10-17,87096.7
CLH0V58,2025-10-23,87580.1
CLH0V58,2025-10-24,87703.6
CLH0V58,2025-10-25,87789.0
CLH0V58,2025-11-19,89821.7
CLH0V58,2025-12-12,91843.2
CLH0V58,2025-12-24,93175.7
CLH0V58,2025-12-26,93387.6
CLH0V58,2025-12-29,93705.7
CLH0V58,2026-01-02,94118.1
CLH0V58,2026-01-11,94935.2
CLH0V58,2026-01-27,96385.7
CLH0V58,2026-01-28,96478.6
CLH0V58,2026-01-29,96582.9
CLH0V58,2026-02-08,97577.9
CLH0V58,2026-02-15,98089.1
CLH0V58,2026-03-03,99786.9
CLH0V58,2026-03-08,100266.9
CLH0V58,2026-03-19,101149.7
CLH0V58,2026-03-22,101387.7
CLH0V58,2026-03-24,101481.3
CLH0V58,2026-04-02,102435.9
CLH0V58,2026-04-14,103414.6
CLH0V58,2026-04-15,103500.2
CLH0V58,2026-04-30,105009.5
CLH0V58,2026-05-03,105312.0
CLH0V58,2026-05-04,105459.2
CLH0V58,2026-05-07,105563.1
CLH0V58,2026-05-11,105767.1
CLH0V58,2026-05-20,106682.8
CLH0V58,2026-05-28,107526.1
CUR4L80,2024-01-01,142554.7
CUR4L80,2024-02-01,144007.1
CUR4L80,2024-02-12,144571.4
CUR4L80,2024-03-01,145532.8
CUR4L80,2024-03-02,145577.1
CUR4L80,2024-03-11,146101.5
CUR4L80,2024-03-12,146160.4
CUR4L80,2024-03-24,146643.3
CUR4L80,2024-03-30,146988.0
CUR4L80,2024-04-13,147753.5
CUR4L80,2024-04-19,148030.8
CUR4L80,2024-05-05,148748.7
CUR4L80,2024-05-06,148820.5
CUR4L80,2024-06-07,150513.6
CUR4L80,2024-06-12,150841.2
CUR4L80,2024-06-20,151218.2
CUR4L80,2024-07-03,151980.2
CUR4L80,2024-07-09,152166.3
CUR4L80,2024-07-17,152508.5
CUR4L80,2024-07-18,152576.3
CUR4L80,2024-08-17,154043.7
CUR4L80,2024-08-21,154164.5
CUR4L80,2024-08-24,154360.2
CUR4L80,2024-08-31,154908.3
CUR4L80,2024-09-15,155548.1
CUR4L80,2024-09-23,155674.8
CUR4L80,2024-09-30,155988.5
CUR4L80,2024-10-01,156037.1
CUR4L80,2024-10-17,156861.3
CUR4L80,2024-12-03,159464.3
CUR4L80,2024-12-18,160288.9
CUR4L80,2024-12-25,160440.2
CUR4L80,2024-12-26,160502.3
CUR4L80,2025-01-01,160878.0
CUR4L80,2025-01-03,160949.8
CUR4L80,2025-01-08,161242.7
CUR4L80,2025-01-24,162103.8
CUR4L80,2025-01-28,162374.8
CUR4L80,2025-02-02,162605.8
CUR4L80,2025-02-11,162995.7
CUR4L80,2025-02-20,163270.7
CUR4L80,2025-02-23,163488.8
CUR4L80,2025-02-26,163623.5
CUR4L80,2025-03-04,163780.2
CUR4L80,2025-03-20,164532.6
CUR4L80,2025-03-21,164543.2
CUR4L80,2025-03-22,164545.6
CUR4L80,2025-03-23,164536.5
CUR4L80,2025-03-27,164756.0
CUR4L80,2025-04-01,164997.6
CUR4L80,2025-04-03,165156.8
CUR4L80,2025-04-29,166631.2
CUR4L80,2025-05-09,167273.4
CUR4L80,2025-05-15,167688.6
CUR4L80,2025-05-17,167684.1
CUR4L80,2025-05-19,167757.1
CUR4L80,2025-05-21,167894.8
CUR4L80,2025-05-30,168275.5
CUR4L80,2025-06-01,168342.2
CUR4L80,2025-06-02,168410.1
CUR4L80,2025-06-09,168863.0
CUR4L80,2025-06-21,169408.3
CUR4L80,2025-06-22,169486.4
CUR4L80,2025-06-26,169684.8
CUR4L80,2025-07-02,169881.0
CUR4L80,2025-07-05,170093.7
CUR4L80,2025-07-13,170533.9
CUR4L80,2025-07-19,170957.3
CUR4L80,2025-07-31,171663.5
CUR4L80,2025-08-19,172628.3
CUR4L80,2025-08-27,173147.4
CUR4L80,2025-09-04,173499.8
CUR4L80,2025-09-10,173906.4
CUR4L80,2025-09-11,173914.7
CUR4L80,2025-09-14,174123.8
CUR4L80,2025-09-24,174573.2
CUR4L80,2025-10-02,174923.9
CUR4L80,2025-10-05,175048.4
CUR4L80,2025-10-18,175753.9
CUR4L80,2025-11-04,176578.0
CUR4L80,2025-11-24,177764.8
CUR4L80,2025-11-26,177819.0
CUR4L80,2025-12-08,178474.8
CUR4L80,2025-12-27,179136.4
CUR4L80,2026-01-16,180215.1
CUR4L80,2026-01-21,180493.7
CUR4L80,2026-02-27,182052.7
CUR4L80,2026-03-02,182177.1
CUR4L80,2026-03-09,182513.8
CUR4L80,2026-03-21,183070.9
CUR4L80,2026-03-22,183113.3
CUR4L80,2026-03-29,183447.3
CUR4L80,2026-04-05,183859.0
CUR4L80,2026-04-06,183909.7
CUR4L80,2026-04-12,184248.3
CUR4L80,2026-04-17,184466.5
CUR4L80,2026-04-19,184617.4
CUR4L80,2026-04-23,184691.3
CUR4L80,2026-04-24,184751.0
CUR4L80,2026-04-29,185063.8
CUR4L80,2026-05-04,185378.0
CUR4L80,2026-05-05,185434.0
CUR4L80,2026-05-09,185620.2
CUR4L80,2026-05-21,186274.9
CUR4L80,2026-05-24,186464.2
DRO2O72,2024-01-10,28189.4
DRO2O72,2024-01-14,29382.0
DRO2O72,2024-01-31,33590.5
DRO2O72,2024-02-01,33870.7
DRO2O72,2024-02-09,36177.9
DRO2O72,2024-02-10,36476.2
DRO2O72,2024-02-16,38035.8
DRO2O72,2024-03-09,44371.4
DRO2O72,2024-03-10,44624.4
DRO2O72,2024-03-11,44922.6
DRO2O72,2024-03-16,46303.9
DRO2O72,2024-03-17,46587.8
DRO2O72,2024-03-18,46825.2
DRO2O72,2024-03-22,47418.8
DRO2O72,2024-04-02,50496.4
DRO2O72,2024-04-09,52498.9
DRO2O72,2024-04-20,55542.0
DRO2O72,2024-05-04,59278.2
DRO2O72,2024-05-05,59577.9
DRO2O72,2024-05-17,62731.5
DRO2O72,2024-05-19,63304.9
DRO2O72,2024-05-24,64380.3
DRO2O72,2024-05-30,65823.8
DRO2O72,2024-05-31,66035.5
DRO2O72,2024-06-09,68590.7
DRO2O72,2024-06-22,72091.3
DRO2O72,2024-06-25,72863.0
DRO2O72,2024-07-02,74915.5
DRO2O72,2024-07-04,75450.7
DRO2O72,2024-07-15,78369.4
DRO2O72,2024-07-17,78656.9
DRO2O72,2024-07-20,79498.6
DRO2O72,2024-07-24,80653.8
DRO2O72,2024-08-01,82643.4
DRO2O72,2024-08-03,83155.4
DRO2O72,2024-08-07,84278.7
DRO2O72,2024-08-09,84860.6
DRO2O72,2024-08-14,86330.8
DRO2O72,2024-08-16,86833.4
DRO2O72,2024-08-25,89367.9
DRO2O72,2024-09-04,92313.1
DRO2O72,2024-09-15,95333.6
DRO2O72,2024-09-20,96745.2
DRO2O72,2024-09-25,97852.2
DRO2O72,2024-10-01,99673.0
DRO2O72,2024-10-03,100218.1
DRO2O72,2024-10-08,101422.0
DRO2O72,2024-10-10,101959.0
DRO2O72,2024-10-14,103033.2
DRO2O72,2024-10-20,104774.1
DRO2O72,2024-11-04,109085.0
DRO2O72,2024-11-13,111561.0
DRO2O72,2024-11-14,111862.5
DRO2O72,2024-11-16,112456.6
DRO2O72,2024-11-17,112729.3
DRO2O72,2024-11-18,112983.5
DRO2O72,2024-12-09,118702.0
DRO2O72,2024-12-16,120302.0
DRO2O72,2024-12-30,123632.5
DRO2O72,2025-01-06,125565.9
DRO2O72,2025-01-07,125840.5
DRO2O72,2025-01-18,128549.2
DRO2O72,2025-03-07,141703.3
DRO2O72,2025-03-08,141701.7
DRO2O72,2025-03-12,142860.1
DRO2O72,2025-03-25,146417.7
DRO2O72,2025-03-28,147291.3
DRO2O72,2025-03-29,147598.2
DRO2O72,2025-04-02,148751.1
DRO2O72,2025-04-03,149001.2
DRO2O72,2025-04-13,151567.8
DRO2O72,2025-04-15,152165.4
DRO2O72,2025-04-21,153948.2
DRO2O72,2025-04-22,154239.2
DRO2O72,2025-04-23,154227.4
DRO2O72,2025-04-28,155406.3
DRO2O72,2025-05-02,156527.0
DRO2O72,2025-05-04,157081.5
DRO2O72,2025-05-09,158518.9
DRO2O72,2025-05-16,159672.0
DRO2O72,2025-05-23,161729.1
DRO2O72,2025-05-24,161728.6
DRO2O72,2025-06-04,164390.5
DRO2O72,2025-06-10,165665.6
DRO2O72,2025-06-13,166556.5
DRO2O72,2025-06-16,167438.3
DRO2O72,2025-06-25,169793.1
DRO2O72,2025-06-29,170964.0
DRO2O72,2025-07-01,171507.0
DRO2O72,2025-07-09,173407.9
DRO2O72,2025-07-12,174307.3
DRO2O72,2025-07-19,175979.5
DRO2O72,2025-07-22,176743.5
DRO2O72,2025-08-01,179575.1
DRO2O72,2025-08-17,183751.7
DRO2O72,2025-09-02,188058.7
DRO2O72,2025-09-10,190349.9
DRO2O72,2025-09-26,194841.7
DRO2O72,2025-10-01,196003.2
DRO2O72,2025-10-05,196908.8
DRO2O72,2025-10-19,200838.1
DRO2O72,2025-10-20,200824.7
DRO2O72,2025-10-31,203450.1
DRO2O72,2025-11-01,203735.2
DRO2O72,2025-11-09,205626.1
DRO2O72,2025-11-13,206776.1
DRO2O72,2025-12-01,211508.9
DRO2O72,2025-12-04,212372.7
DRO2O72,2025-12-13,214925.2
DRO2O72,2025-12-15,215203.5
DRO2O72,2025-12-24,217516.2
DRO2O72,2026-01-03,220157.4
DRO2O72,2026-01-25,226144.9
DRO2O72,2026-01-31,227526.5
DRO2O72,2026-02-09,229761.2
DRO2O72,2026-02-13,230928.3
DRO2O72,2026-02-15,231450.4
DRO2O72,2026-02-23,233669.2
DRO2O72,2026-02-25,234199.1
DRO2O72,2026-03-03,235918.4
DRO2O72,2026-03-08,237042.8
DRO2O72,2026-03-09,237319.3
DRO2O72,2026-03-30,242952.6
DRO2O72,2026-04-03,244043.4
DRO2O72,2026-04-07,245257.3
DRO2O72,2026-04-22,248762.8
DRO2O72,2026-04-30,250741.3
DRO2O72,2026-05-02,251278.3
DRO2O72,2026-05-15,254013.6
DRO2O72,2026-05-18,254845.0
DWO7U54,2024-01-01,48636.2
DWO7U54,2024-01-04,49584.2
DWO7U54,2024-01-17,52987.4
DWO7U54,2024-02-07,58374.9
DWO7U54,2024-02-27,63540.1
DWO7U54,2024-03-02,64714.4
DWO7U54,2024-03-04,65303.9
DWO7U54,2024-03-09,66429.8
DWO7U54,2024-03-19,69166.3
DWO7U54,2024-03-21,69468.6
DWO7U54,2024-03-23,70079.2
DWO7U54,2024-03-25,70684.4
DWO7U54,2024-04-01,72765.9
DWO7U54,2024-04-05,73754.0
DWO7U54,2024-04-06,74041.8
DWO7U54,2024-04-20,78099.9
DWO7U54,2024-05-11,83710.2
DWO7U54,2024-05-21,86207.1
DWO7U54,2024-06-06,90537.0
DWO7U54,2024-06-22,94948.1
DWO7U54,2024-06-29,96495.0
DWO7U54,2024-07-03,97626.9
DWO7U54,2024-07-04,97938.0
