Credit_Score,Idade,Tempo_Credito,Balanco,Qtd_Produtos,Possui_Cartao,Membro_Ativo,Salario_Anual,Genero_encoded,Pais_GERMANY,Pais_SPAIN
755,35.0,2,0.0,2,1.0,0.0,2449512.0,0,0,0
718,67.0,5,108477.27,1,1.0,1.0,10055703.0,1,0,0
571,40.0,9,0.0,2,1.0,1.0,6270049.0,0,0,0
622,27.0,9,0.0,1,1.0,1.0,1011687.0,0,0,1
628,61.0,8,0.0,1,1.0,1.0,13367261.0,0,0,0
611,32.0,9,122104.79,1,1.0,0.0,1011687.0,1,1,0
706,36.0,7,0.0,2,1.0,1.0,1011687.0,0,0,1
724,32.0,7,130483.95,1,1.0,1.0,1011687.0,1,0,1
527,53.0,8,0.0,2,1.0,0.0,1011687.0,1,0,1
689,30.0,7,151510.17,1,0.0,1.0,1011687.0,1,1,0
616,42.0,6,121898.58,1,1.0,0.0,1011687.0,0,1,0
668,32.0,10,92041.87,1,1.0,0.0,1011687.0,1,1,0
731,33.0,10,0.0,2,1.0,0.0,1011687.0,0,0,0
765,32.0,10,99097.36,1,1.0,0.0,1011687.0,0,0,1
662,34.0,7,103294.56,1,1.0,0.0,1011687.0,1,1,0
704,31.0,5,0.0,2,0.0,0.0,1011687.0,1,0,1
714,33.0,4,137986.58,1,0.0,1.0,1011687.0,1,1,0
636,20.0,7,0.0,1,1.0,0.0,1011687.0,1,0,0
714,36.0,1,114430.28,1,0.0,0.0,1011687.0,0,1,0
656,38.0,6,143571.52,1,0.0,0.0,12744414.0,1,0,0
850,38.0,5,0.0,2,1.0,1.0,17837343.0,1,0,0
663,28.0,6,0.0,2,1.0,0.0,1011687.0,0,0,0
745,47.0,2,0.0,1,0.0,0.0,1011687.0,1,0,1
752,36.0,9,0.0,2,1.0,0.0,13888915.0,0,0,0
804,43.0,4,0.0,1,1.0,1.0,1011687.0,1,0,1
644,33.0,2,0.0,2,0.0,0.0,1011687.0,0,0,0
539,38.0,6,104787.29,2,1.0,0.0,1011687.0,1,1,0
705,31.0,2,101487.91,1,0.0,1.0,1011687.0,1,0,0
752,59.0,3,152265.43,1,1.0,0.0,1011687.0,1,1,0
815,21.0,8,118082.89,1,1.0,1.0,1011687.0,0,1,0
658,41.0,1,0.0,1,1.0,1.0,13254033.0,1,0,0
637,36.0,9,0.0,2,1.0,0.0,1011687.0,1,0,1
597,45.0,2,0.0,2,0.0,1.0,8278208.0,1,0,0
707,33.0,8,0.0,2,1.0,0.0,1011687.0,1,0,0
635,38.0,7,113635.16,1,0.0,0.0,1011687.0,0,1,0
676,44.0,8,0.0,1,1.0,0.0,1011687.0,1,0,1
645,40.0,5,0.0,2,0.0,0.0,18798501.0,1,0,0
667,25.0,3,0.0,2,0.0,0.0,1011687.0,1,0,0
807,31.0,1,0.0,2,1.0,1.0,1011687.0,1,0,0
706,43.0,7,0.0,2,1.0,1.0,1011687.0,1,0,1
623,29.0,4,0.0,2,1.0,1.0,1011687.0,0,0,1
573,58.0,2,0.0,1,1.0,1.0,1011687.0,1,0,1
616,49.0,7,0.0,1,1.0,0.0,1011687.0,1,0,1
591,36.0,3,144954.25,1,0.0,1.0,9679106.0,1,0,0
748,38.0,2,104356.82,2,0.0,0.0,1011687.0,1,1,0
667,43.0,9,0.0,1,0.0,0.0,1011687.0,1,1,0
648,56.0,3,0.0,1,1.0,0.0,1635873.0,1,0,0
605,29.0,5,0.0,1,1.0,1.0,1011687.0,1,0,0
558,44.0,3,121702.73,1,1.0,1.0,1011687.0,1,1,0
629,32.0,4,0.0,2,1.0,1.0,1011687.0,1,0,1
631,35.0,9,142703.4,1,0.0,0.0,8061917.0,1,0,0
627,39.0,1,0.0,2,1.0,1.0,1011687.0,1,0,1
802,38.0,2,0.0,2,1.0,1.0,17255777.0,1,0,0
587,19.0,8,0.0,2,1.0,1.0,1011687.0,0,0,1
733,55.0,4,141556.96,1,1.0,0.0,1011687.0,1,1,0
749,40.0,9,0.0,1,1.0,1.0,17103956.0,1,0,0
699,36.0,4,95128.81,2,1.0,1.0,1011687.0,1,1,0
687,26.0,7,0.0,2,1.0,0.0,1011687.0,1,0,0
551,48.0,3,133050.97,1,1.0,1.0,1011687.0,1,1,0
581,32.0,9,0.0,1,1.0,1.0,1011687.0,1,0,0
537,33.0,7,114203.47,1,1.0,1.0,1011687.0,0,1,0
578,52.0,0,131389.17,2,1.0,0.0,1011687.0,0,1,0
754,38.0,1,122453.37,2,1.0,1.0,18262493.0,1,0,0
751,43.0,9,0.0,1,0.0,1.0,4398241.0,1,0,0
732,33.0,9,0.0,2,1.0,0.0,1011687.0,1,0,0
712,52.0,10,167268.98,1,0.0,1.0,1011687.0,1,1,0
676,48.0,7,131659.59,2,1.0,0.0,1415215.0,1,0,0
678,58.0,1,0.0,1,0.0,1.0,15031949.0,1,0,0
544,27.0,8,0.0,2,0.0,0.0,1011687.0,1,0,1
593,46.0,5,140355.6,2,0.0,1.0,1011687.0,0,0,1
753,42.0,1,115915.53,2,0.0,0.0,1011687.0,1,1,0
681,38.0,10,0.0,1,1.0,0.0,13308645.0,0,0,0
559,34.0,8,0.0,1,1.0,0.0,1011687.0,1,0,0
662,45.0,8,115409.6,2,1.0,1.0,153921.0,0,0,0
640,58.0,8,137520.99,1,1.0,0.0,1011687.0,0,1,0
651,25.0,2,185511.05,1,0.0,1.0,1011687.0,1,0,0
648,52.0,7,0.0,2,0.0,1.0,1011687.0,0,0,1
637,39.0,3,127738.75,2,0.0,0.0,1011687.0,1,1,0
484,25.0,6,0.0,2,1.0,0.0,1011687.0,0,0,0
604,30.0,7,151855.43,1,1.0,0.0,1011687.0,1,0,0
695,37.0,1,0.0,2,1.0,1.0,7397985.0,0,0,0
679,38.0,8,0.0,1,0.0,1.0,11308943.0,0,0,0
771,40.0,4,89047.14,1,0.0,1.0,1011687.0,0,0,1
686,34.0,3,97338.19,2,1.0,0.0,1011687.0,0,1,0
692,49.0,5,113909.64,1,1.0,0.0,1011687.0,1,1,0
701,51.0,9,0.0,3,0.0,0.0,6196157.0,1,0,0
558,54.0,7,0.0,1,1.0,1.0,10373966.0,1,0,0
712,23.0,8,0.0,2,1.0,1.0,1011687.0,0,0,0
565,43.0,5,0.0,1,0.0,1.0,9675858.0,1,0,0
475,46.0,10,0.0,2,0.0,1.0,1229530.0,0,0,0
554,26.0,3,125837.86,2,0.0,0.0,1011687.0,0,1,0
634,38.0,6,130428.77,2,1.0,1.0,1011687.0,0,1,0
700,31.0,3,0.0,2,1.0,0.0,1011687.0,0,0,0
704,37.0,7,0.0,2,0.0,0.0,1011687.0,1,0,1
840,36.0,1,94968.97,1,1.0,0.0,8448762.0,0,0,0
775,40.0,8,0.0,2,1.0,0.0,1011687.0,1,0,1
605,35.0,2,80764.05,1,1.0,0.0,12131112.0,1,0,0
779,31.0,0,75499.24,2,1.0,0.0,1011687.0,0,1,0
716,31.0,6,113811.78,1,1.0,1.0,1011687.0,0,0,0
759,32.0,2,0.0,2,1.0,1.0,1011687.0,1,0,0
658,42.0,8,102870.93,2,0.0,1.0,10376455.0,1,0,0
631,38.0,4,122453.97,1,1.0,1.0,18122456.0,1,0,0
705,46.0,8,0.0,2,1.0,0.0,4541845.0,1,0,0
751,35.0,4,0.0,2,1.0,1.0,7294584.0,1,0,0
559,31.0,2,0.0,2,1.0,1.0,1011687.0,0,0,0
709,26.0,1,0.0,1,1.0,0.0,1011687.0,0,0,0
714,41.0,8,0.0,2,1.0,1.0,14704025.0,0,0,0
725,27.0,2,0.0,2,1.0,0.0,1011687.0,0,0,0
704,31.0,3,0.0,2,1.0,0.0,1011687.0,1,0,1
485,32.0,6,82538.0,1,1.0,0.0,1011687.0,1,0,0
638,40.0,6,0.0,2,1.0,0.0,919361.0,0,0,0
697,41.0,4,87612.64,1,0.0,1.0,1011687.0,0,1,0
714,29.0,5,0.0,1,1.0,0.0,1011687.0,1,0,0
657,26.0,1,0.0,2,1.0,1.0,1011687.0,1,0,0
577,57.0,5,121874.89,1,1.0,1.0,1011687.0,0,1,0
694,32.0,5,124923.35,2,0.0,0.0,1011687.0,0,1,0
733,46.0,1,0.0,1,1.0,0.0,533117.0,0,0,0
583,32.0,1,0.0,2,1.0,0.0,1011687.0,0,0,0
646,34.0,4,64511.23,1,1.0,1.0,1011687.0,0,0,1
601,20.0,4,122446.61,1,1.0,1.0,1011687.0,1,0,0
684,40.0,7,116083.97,1,1.0,0.0,1011687.0,0,1,0
751,37.0,9,99773.85,2,0.0,1.0,1011687.0,1,0,1
629,34.0,2,0.0,2,0.0,1.0,1011687.0,1,0,0
714,41.0,8,0.0,2,1.0,1.0,1011687.0,0,0,1
652,40.0,8,0.0,2,1.0,1.0,1635879.0,0,0,0
681,34.0,9,0.0,2,1.0,0.0,1011687.0,1,0,0
694,39.0,5,132729.36,1,1.0,1.0,596372.0,1,0,0
638,32.0,5,0.0,1,1.0,0.0,1011687.0,0,0,1
604,43.0,4,145081.72,1,1.0,1.0,1011687.0,1,0,1
703,50.0,9,160139.59,2,1.0,1.0,793141.0,1,0,0
501,44.0,9,117301.66,1,0.0,0.0,1011687.0,0,1,0
672,41.0,5,0.0,2,0.0,0.0,645155.0,1,0,0
597,23.0,8,0.0,2,1.0,1.0,1011687.0,1,0,0
828,42.0,7,81525.93,1,1.0,1.0,539494.0,1,0,0
687,38.0,6,122552.34,2,0.0,1.0,16993546.0,1,0,0
468,42.0,6,0.0,2,1.0,0.0,1011687.0,0,0,1
677,33.0,10,0.0,1,1.0,0.0,1011687.0,1,0,0
619,56.0,8,141616.55,3,1.0,1.0,11703432.0,0,0,0
527,56.0,6,0.0,1,0.0,0.0,18790012.0,0,0,0
718,29.0,2,113897.23,1,1.0,0.0,1011687.0,1,1,0
594,33.0,7,0.0,2,1.0,0.0,1011687.0,1,0,0
665,35.0,9,122028.65,2,1.0,0.0,1011687.0,1,1,0
553,47.0,7,99883.16,2,0.0,1.0,1011687.0,0,1,0
823,71.0,4,0.0,1,1.0,0.0,16268306.0,1,0,0
802,43.0,8,0.0,2,0.0,1.0,16276096.0,1,0,0
646,32.0,1,0.0,1,1.0,1.0,1011687.0,1,0,1
598,34.0,4,125437.95,1,1.0,0.0,1011687.0,0,0,0
803,43.0,1,0.0,1,1.0,0.0,7186283.0,0,0,0
590,33.0,5,0.0,2,1.0,0.0,1011687.0,1,0,0
633,32.0,1,0.0,2,1.0,0.0,1011687.0,1,0,0
589,24.0,9,0.0,2,1.0,1.0,1011687.0,0,0,1
593,47.0,5,161434.36,1,1.0,0.0,1011687.0,0,1,0
655,31.0,4,102717.45,1,1.0,0.0,1011687.0,0,1,0
693,30.0,5,0.0,2,1.0,0.0,1011687.0,0,0,0
605,32.0,9,0.0,2,0.0,0.0,1011687.0,0,0,0
850,41.0,5,135643.0,1,1.0,0.0,1011687.0,0,1,0
598,57.0,3,0.0,1,1.0,1.0,18276585.0,1,0,0
581,29.0,1,0.0,2,1.0,0.0,1011687.0,1,0,0
724,41.0,10,156297.58,2,1.0,1.0,13751041.0,1,0,0
684,38.0,2,71264.02,2,0.0,1.0,17507129.0,1,0,0
656,33.0,0,0.0,2,1.0,1.0,1011687.0,0,0,0
743,33.0,9,0.0,2,1.0,1.0,1011687.0,0,0,0
681,34.0,8,0.0,1,1.0,1.0,1011687.0,1,0,0
759,39.0,1,175312.27,1,0.0,0.0,1011687.0,1,0,1
553,39.0,6,155062.8,1,0.0,1.0,17443101.0,1,0,0
599,39.0,7,0.0,2,1.0,1.0,14140091.0,0,0,0
681,49.0,9,116022.73,1,1.0,0.0,1011687.0,1,1,0
686,28.0,6,0.0,2,1.0,1.0,1011687.0,1,0,0
705,31.0,9,110941.93,1,1.0,0.0,1011687.0,0,1,0
714,46.0,1,0.0,1,1.0,1.0,15216779.0,1,0,0
716,44.0,1,0.0,2,0.0,0.0,1011687.0,1,0,1
564,44.0,5,0.0,2,1.0,0.0,6297213.0,0,0,0
684,32.0,3,107556.06,1,1.0,1.0,1011687.0,1,0,0
850,43.0,10,98635.16,1,1.0,0.0,8268872.0,0,0,0
584,32.0,7,0.0,1,0.0,0.0,1011687.0,0,0,0
698,62.0,0,112755.34,2,0.0,0.0,1011687.0,1,1,0
632,39.0,8,0.0,1,1.0,0.0,1855604.0,1,0,0
559,30.0,2,0.0,2,1.0,1.0,1011687.0,1,0,0
641,34.0,4,0.0,2,0.0,0.0,1011687.0,1,0,0
816,35.0,0,0.0,1,1.0,1.0,18284324.0,0,0,0
621,36.0,4,88826.07,1,1.0,1.0,3375941.0,0,0,0
682,32.0,5,0.0,2,1.0,0.0,1011687.0,1,0,0
711,51.0,9,0.0,2,1.0,0.0,8254701.0,1,0,0
493,31.0,6,0.0,2,1.0,1.0,1011687.0,0,0,1
579,35.0,8,121063.57,1,1.0,0.0,1011687.0,1,1,0
711,25.0,0,0.0,1,1.0,1.0,1011687.0,1,0,0
576,34.0,6,121240.18,1,0.0,0.0,1011687.0,0,0,0
681,41.0,1,103015.12,2,1.0,1.0,13909412.0,0,0,0
543,42.0,2,89838.71,3,1.0,0.0,8693508.0,1,0,0
742,34.0,5,0.0,2,1.0,0.0,1011687.0,1,0,0
667,37.0,2,141803.77,1,1.0,0.0,6184373.0,1,0,0
735,41.0,3,136858.0,1,1.0,0.0,1011687.0,0,0,1
706,37.0,4,0.0,1,1.0,0.0,7298959.0,0,0,0
842,40.0,5,153964.62,2,1.0,0.0,924184.0,1,0,0
644,40.0,7,0.0,2,0.0,1.0,13055347.0,0,0,0
627,34.0,2,0.0,2,1.0,1.0,1011687.0,0,0,0
614,37.0,5,65643.3,1,1.0,1.0,2876099.0,1,0,0
632,38.0,4,0.0,2,1.0,1.0,19250562.0,1,0,0
588,42.0,7,79563.8,1,1.0,1.0,10956318.0,1,0,0
516,37.0,8,93716.71,1,1.0,1.0,11684828.0,1,0,0
683,21.0,7,0.0,1,1.0,0.0,1011687.0,0,0,0
757,60.0,2,96947.57,1,1.0,0.0,1011687.0,0,1,0
834,49.0,8,160602.25,2,1.0,0.0,12927394.0,1,0,0
661,50.0,4,0.0,1,1.0,0.0,9395051.0,0,0,0
567,38.0,3,0.0,2,1.0,0.0,16226093.0,1,0,0
653,42.0,8,114422.81,2,1.0,1.0,1011687.0,1,1,0
496,38.0,3,0.0,2,0.0,0.0,1011687.0,1,0,1
730,34.0,10,0.0,2,1.0,0.0,1011687.0,0,0,1
769,25.0,10,0.0,2,0.0,0.0,1011687.0,1,0,1
554,26.0,7,0.0,2,0.0,0.0,1011687.0,0,0,0
555,32.0,0,110827.49,1,1.0,0.0,1011687.0,0,0,0
732,32.0,5,0.0,1,1.0,1.0,1011687.0,1,0,0
703,45.0,5,0.0,2,0.0,0.0,13190644.0,0,0,0
553,39.0,2,0.0,2,1.0,1.0,1011687.0,1,0,1
633,46.0,1,0.0,1,1.0,0.0,14058606.0,0,0,0
676,42.0,2,0.0,2,1.0,1.0,1011687.0,0,0,1
624,47.0,2,100912.55,3,0.0,1.0,1011687.0,1,0,1
633,21.0,7,121260.19,2,1.0,1.0,1011687.0,0,1,0
685,30.0,6,0.0,3,1.0,1.0,1011687.0,0,0,0
554,45.0,8,146098.43,1,1.0,1.0,18761618.0,0,0,0
613,35.0,8,131647.01,1,1.0,0.0,8698145.0,1,0,0
599,34.0,6,127864.4,1,1.0,0.0,1011687.0,1,0,0
617,36.0,7,0.0,2,1.0,0.0,13249839.0,0,0,0
611,54.0,1,0.0,1,1.0,0.0,10374756.0,0,0,0
653,35.0,8,0.0,2,0.0,1.0,18272007.0,0,0,0
592,31.0,1,127299.34,1,1.0,0.0,1011687.0,1,1,0
653,39.0,1,107852.64,2,0.0,1.0,1011687.0,0,1,0
637,38.0,9,0.0,1,1.0,0.0,1011687.0,1,0,1
680,33.0,2,123863.23,1,1.0,1.0,1011687.0,1,0,1
678,43.0,9,0.0,1,0.0,1.0,15095059.0,0,0,0
499,39.0,6,0.0,2,1.0,0.0,1984115.0,1,0,0
577,30.0,2,0.0,2,1.0,0.0,1011687.0,1,0,0
698,41.0,3,0.0,2,1.0,1.0,143570.0,1,0,0
652,39.0,1,117548.85,2,1.0,0.0,15249005.0,1,0,0
587,48.0,7,144432.04,2,0.0,0.0,1011687.0,0,1,0
697,28.0,7,0.0,2,1.0,1.0,1011687.0,1,0,0
734,37.0,10,0.0,2,1.0,0.0,17554402.0,0,0,0
638,35.0,2,174894.53,1,1.0,1.0,1011687.0,0,0,1
741,44.0,2,0.0,2,0.0,0.0,1011687.0,0,0,1
666,40.0,7,109062.28,1,0.0,1.0,1011687.0,0,1,0
717,33.0,5,100315.03,2,1.0,0.0,1011687.0,1,1,0
763,32.0,9,125155.83,2,1.0,1.0,1011687.0,1,1,0
645,29.0,10,116074.89,1,1.0,0.0,1011687.0,1,1,0
653,54.0,2,106258.98,1,0.0,0.0,4595905.0,0,0,0
634,32.0,2,0.0,2,1.0,1.0,1011687.0,0,0,0
577,38.0,9,0.0,2,1.0,1.0,8740053.0,1,0,0
759,71.0,9,0.0,1,1.0,1.0,1011687.0,1,0,1
703,36.0,9,0.0,2,1.0,1.0,749659.0,1,0,0
650,46.0,9,0.0,1,1.0,0.0,18798021.0,0,0,0
758,23.0,5,82924.38,2,0.0,0.0,1011687.0,0,0,0
652,30.0,6,124099.13,1,1.0,1.0,1011687.0,0,1,0
699,37.0,3,0.0,1,1.0,0.0,13008647.0,0,0,0
600,52.0,3,125437.86,1,1.0,0.0,16076402.0,0,0,0
696,37.0,1,0.0,2,0.0,1.0,1011687.0,1,0,1
745,45.0,3,105492.53,1,0.0,1.0,1011687.0,1,0,1
693,34.0,2,0.0,2,1.0,0.0,1011687.0,1,0,0
704,40.0,0,0.0,2,1.0,0.0,12448967.0,0,0,0
593,41.0,3,99097.39,4,1.0,0.0,253991.0,0,0,0
496,46.0,7,0.0,1,0.0,1.0,10809828.0,0,0,0
645,37.0,5,109166.38,1,1.0,1.0,1011687.0,1,1,0
768,56.0,8,130866.19,1,1.0,0.0,1011687.0,0,0,1
646,46.0,6,139106.18,2,1.0,0.0,10169467.0,1,0,0
732,43.0,10,0.0,1,0.0,1.0,11341063.0,1,0,0
678,61.0,9,146720.98,1,0.0,1.0,11052771.0,0,0,0
571,34.0,4,108825.34,1,1.0,1.0,1011687.0,0,0,0
535,42.0,0,135919.33,1,1.0,0.0,8042565.0,0,0,0
543,31.0,1,106138.33,1,0.0,1.0,1011687.0,0,0,0
623,28.0,5,169915.35,1,1.0,0.0,1011687.0,1,0,1
803,43.0,6,123376.24,1,1.0,1.0,17387078.0,0,0,0
678,29.0,6,120914.4,2,1.0,0.0,1011687.0,1,0,0
526,37.0,1,151553.19,1,1.0,1.0,1011687.0,1,0,1
543,40.0,1,103944.47,1,0.0,1.0,1011687.0,1,0,1
633,29.0,1,0.0,1,1.0,1.0,1011687.0,1,0,0
516,31.0,7,0.0,2,1.0,0.0,1011687.0,1,0,0
793,34.0,5,82674.15,1,1.0,0.0,1011687.0,0,0,1
730,37.0,7,0.0,2,0.0,1.0,17143016.0,1,0,0
659,60.0,9,0.0,1,1.0,1.0,13166247.0,1,0,0
829,31.0,7,0.0,2,1.0,0.0,1011687.0,1,0,1
659,56.0,9,133868.21,1,1.0,0.0,1011687.0,0,1,0
609,42.0,9,0.0,1,1.0,0.0,10667.0,0,0,0
629,39.0,6,0.0,2,1.0,1.0,1011687.0,1,0,1
644,27.0,6,61903.57,1,1.0,0.0,1011687.0,0,0,0
549,34.0,9,114512.59,1,0.0,1.0,1011687.0,1,1,0
593,33.0,1,0.0,2,1.0,1.0,1011687.0,0,0,0
634,42.0,1,0.0,1,1.0,0.0,4595905.0,0,0,0
686,45.0,0,0.0,1,1.0,1.0,1700729.0,0,0,0
568,40.0,7,0.0,2,1.0,1.0,4597839.0,1,0,0
599,29.0,3,0.0,2,1.0,0.0,1011687.0,1,0,0
686,34.0,1,146622.35,1,1.0,1.0,1011687.0,1,0,0
653,27.0,6,0.0,1,1.0,0.0,1011687.0,1,0,0
596,40.0,5,0.0,2,1.0,0.0,1011687.0,0,0,1
812,41.0,7,0.0,1,1.0,0.0,7299365.0,1,0,0
707,29.0,3,108019.27,1,0.0,0.0,1011687.0,1,0,1
634,30.0,7,0.0,2,1.0,1.0,1011687.0,1,0,0
652,42.0,2,0.0,2,1.0,1.0,16755708.0,1,0,0
771,53.0,4,71433.89,1,1.0,0.0,1011687.0,1,0,1
684,38.0,8,141535.52,1,1.0,0.0,16667735.0,0,0,0
737,26.0,2,100524.66,1,0.0,0.0,1011687.0,0,1,0
648,31.0,5,126816.18,1,1.0,1.0,1011687.0,1,1,0
703,43.0,7,103515.43,1,1.0,1.0,1011687.0,1,1,0
687,41.0,2,122453.97,2,1.0,0.0,898938.0,0,0,0
756,56.0,8,0.0,1,0.0,1.0,2983765.0,1,0,0
468,46.0,7,125189.75,2,1.0,0.0,1011687.0,1,1,0
676,37.0,10,0.0,2,0.0,0.0,6889413.0,1,0,0
759,38.0,4,0.0,1,1.0,1.0,726725.0,1,0,0
602,28.0,10,0.0,2,1.0,1.0,1011687.0,0,0,0
733,32.0,3,0.0,2,0.0,1.0,1011687.0,1,0,0
662,42.0,8,0.0,2,1.0,1.0,12080165.0,1,0,0
488,51.0,2,140931.57,1,0.0,0.0,946864.0,1,0,0
696,47.0,1,0.0,1,1.0,0.0,8741409.0,0,0,0
620,36.0,4,0.0,2,1.0,1.0,9352422.0,0,0,0
691,47.0,9,135095.74,1,1.0,0.0,1011687.0,1,1,0
699,37.0,9,0.0,2,1.0,1.0,7588465.0,0,0,0
607,32.0,6,115084.53,1,0.0,1.0,1011687.0,0,0,0
679,39.0,9,127838.79,2,0.0,0.0,1011687.0,0,1,0
714,35.0,6,0.0,2,1.0,0.0,1011687.0,0,0,1
616,33.0,3,142876.32,1,1.0,0.0,1011687.0,1,0,0
709,34.0,4,0.0,2,1.0,1.0,1011687.0,0,0,1
694,35.0,6,79563.46,1,0.0,1.0,1011687.0,1,0,1
523,40.0,4,0.0,1,0.0,0.0,1214282.0,1,0,0
773,29.0,4,0.0,2,1.0,1.0,1011687.0,0,0,1
624,47.0,6,0.0,1,1.0,0.0,14136462.0,1,0,0
557,44.0,1,123082.08,1,1.0,0.0,1011687.0,1,0,1
686,41.0,7,0.0,2,0.0,0.0,1011687.0,1,0,1
652,36.0,6,0.0,2,0.0,0.0,1011687.0,1,0,1
683,40.0,5,0.0,1,1.0,1.0,12121009.0,0,0,0
653,29.0,8,102338.19,1,1.0,0.0,1011687.0,0,0,0
584,31.0,3,0.0,2,1.0,1.0,1011687.0,1,0,0
571,36.0,9,129608.58,1,1.0,1.0,13489685.0,1,0,0
699,37.0,7,0.0,2,1.0,1.0,8541165.0,0,0,0
850,34.0,9,0.0,2,1.0,1.0,1011687.0,1,0,1
768,38.0,4,174851.9,1,1.0,1.0,1011687.0,1,0,1
627,35.0,2,0.0,2,1.0,1.0,8129917.0,0,0,0
697,56.0,6,0.0,1,1.0,0.0,498335.0,0,0,0
735,53.0,3,133964.3,1,1.0,0.0,1011687.0,1,1,0
493,38.0,3,75075.31,1,0.0,0.0,8957832.0,1,0,0
677,35.0,2,178713.98,1,1.0,1.0,18790012.0,0,0,0
825,34.0,9,0.0,2,0.0,1.0,1011687.0,1,0,0
629,35.0,3,0.0,1,0.0,0.0,17012215.0,0,0,0
571,38.0,5,0.0,1,1.0,0.0,14658577.0,1,0,0
579,46.0,8,117458.51,2,1.0,1.0,1011687.0,1,1,0
712,33.0,5,0.0,2,0.0,1.0,1011687.0,1,0,0
675,38.0,7,0.0,1,1.0,1.0,17698434.0,1,0,0
727,26.0,6,0.0,2,1.0,1.0,1011687.0,1,0,1
660,39.0,6,135645.29,2,1.0,1.0,8889005.0,0,0,0
721,38.0,8,161613.94,1,0.0,1.0,5247136.0,1,0,0
659,35.0,8,0.0,2,0.0,1.0,718111.0,0,0,0
686,33.0,3,164557.95,1,1.0,0.0,1011687.0,1,0,0
788,43.0,10,0.0,2,1.0,1.0,11611151.0,1,0,0
697,38.0,8,0.0,2,1.0,1.0,14881628.0,1,0,0
